date	rank	quote	market cap	24-hr volume	24-hr volume δ	vol δ%	price δ%	vol ^ 5%	vol ^ 10%	price ^ 10%	correspondence 5%	correspondence 10%	n
2025-09-22	9057	$0.002706	$40,556	$77,650	-$11,190	-14.41%	-5.32%	0	0	0	0	0	293
2025-09-21	9052	$0.002850	$42,666	$88,840	$4,228	4.76%	-1.16%	0	0	0	0	0	292
2025-09-20	9031	$0.002883	$43,246	$84,612	-$9,543	-11.28%	-1.70%	0	0	0	0	0	291
2025-09-19	9005	$0.002932	$43,966	$94,155	$4,637	4.92%	-2.08%	0	0	0	0	0	290
2025-09-18	8991	$0.002993	$45,127	$89,518	$7,709	8.61%	0.03%	1	0	0	0	0	289
2025-09-17	8926	$0.002992	$45,033	$81,809	-$4,648	-5.68%	2.21%	0	0	0	0	0	288
2025-09-16	8946	$0.002926	$43,897	$86,457	-$4,944	-5.72%	-2.08%	0	0	0	0	0	287
2025-09-15	8932	$0.002987	$44,809	$91,401	-$9,041	-9.89%	-1.00%	0	0	0	0	0	286
2025-09-14	8950	$0.003017	$45,421	$100,442	$16,040	15.97%	0.53%	1	1	0	0	0	285
2025-09-13	8955	$0.003001	$45,011	$84,402	$18,219	21.59%	1.33%	1	1	0	0	0	284
2025-09-12	8943	$0.002961	$44,637	$66,183	-$5,154	-7.79%	0.44%	0	0	0	0	0	283
2025-09-11	8892	$0.002948	$44,216	$71,337	$5,133	7.20%	1.12%	1	0	0	0	0	282
2025-09-10	8886	$0.002915	$43,824	$66,204	-$5,103	-7.71%	-1.65%	0	0	0	0	0	281
2025-09-09	8866	$0.002963	$44,109	$71,307	$4,661	6.54%	1.15%	1	0	0	0	0	280
2025-09-08	8840	$0.002929	$44,045	$66,646	-$4,061	-6.09%	-0.24%	0	0	0	0	0	279
2025-09-07	8776	$0.002936	$43,934	$70,707	$3,996	5.65%	0.24%	1	0	0	0	0	278
2025-09-06	8786	$0.002929	$43,850	$66,711	-$5,096	-7.64%	0.61%	0	0	0	0	0	277
2025-09-05	8803	$0.002911	$43,658	$71,807	$4,329	6.03%	-1.72%	1	0	0	0	0	276
2025-09-04	8772	$0.002961	$44,417	$67,479	$6,688	9.91%	2.09%	1	0	0	0	0	275
2025-09-03	8757	$0.002899	$43,481	$60,791	-$7,016	-11.54%	0.00%	0	0	0	0	0	274
2025-09-02	8721	$0.002899	$42,975	$67,806	$2,815	4.15%	-12.76%	0	0	0	0	0	273
2025-09-01	8506	$0.003269	$49,245	$64,992	$1,486	2.29%	-3.58%	0	0	0	0	0	272
2025-08-31	8444	$0.003386	$50,578	$63,506	$687	1.08%	2.30%	0	0	0	0	0	271
2025-08-30	8459	$0.003308	$49,612	$62,818	-$3,168	-5.04%	-2.12%	0	0	0	0	0	270
2025-08-29	8464	$0.003378	$51,206	$65,986	-$14,913	-22.60%	-7.52%	0	0	0	0	0	269
2025-08-28	8362	$0.003632	$54,849	$80,899	$3,570	4.41%	-4.43%	0	0	0	0	0	268
2025-08-27	8296	$0.003793	$56,905	$77,328	$9,149	11.83%	-5.33%	1	1	0	0	0	267
2025-08-26	8120	$0.003995	$60,677	$68,180	-$3,464	-5.08%	-1.78%	0	0	0	0	0	266
2025-08-25	8169	$0.004066	$60,885	$71,644	$673	0.94%	-0.76%	0	0	0	0	0	265
2025-08-24	8178	$0.004097	$61,755	$70,971	-$7,186	-10.13%	-0.20%	0	0	0	0	0	264
2025-08-23	8153	$0.004105	$61,576	$78,157	$42,199	53.99%	1.00%	1	1	0	0	0	263
2025-08-22	8108	$0.004064	$60,944	$35,958	$9,680	26.92%	-2.04%	1	1	0	0	0	262
2025-08-21	8047	$0.004147	$62,209	$26,278	$3,420	13.02%	1.69%	1	1	0	0	0	261
2025-08-20	8035	$0.004077	$61,125	$22,858	-$4,420	-19.34%	-14.59%	0	0	0	0	0	260
2025-08-19	7888	$0.004672	$69,632	$27,278	$3,075	11.27%	7.57%	1	1	0	0	0	259
2025-08-18	8011	$0.004319	$64,539	$24,202	$3,075	12.71%	8.19%	1	1	0	0	0	258
2025-08-17	8134	$0.003965	$59,445	$21,127	$4,086	19.34%	1.66%	1	1	0	0	0	257
2025-08-16	8124	$0.003899	$58,482	$17,041	-$4,956	-29.08%	-25.65%	0	0	0	0	0	256
2025-08-15	7810	$0.004899	$73,451	$21,996	-$7,019	-31.91%	-46.92%	0	0	0	0	0	255
2025-08-14	7309	$0.007198	$108,397	$29,015	-$7,019	-213.16%	-1.91%	0	0	0	0	0	254
2025-08-13	6808	$0.009496	$143,343	$36,033	$6,248	17.34%	11.93%	1	1	1	1	1	255
2025-08-12	6905	$0.008363	$125,445	$29,785	-$63,492	-213.16%	-1.91%	0	0	0	0	0	254
2025-08-11	6872	$0.008523	$127,839	$93,277	$54,972	58.93%	-51.47%	1	1	0	0	0	253
2025-08-10	6304	$0.012910	$193,487	$38,305	-$154,577	-403.54%	-5.58%	0	0	0	0	0	252
2025-08-09	6205	$0.013630	$204,350	$192,882	-$154,577	82.08%	69.89%	0	0	0	0	0	251
2025-08-08	6105	$0.014350	$215,213	$347,460	-$154,577	-47.25%	10.42%	1	1	0	0	0	250
2025-08-07	6006	$0.015070	$226,076	$502,037	$412,064	82.08%	69.89%	0	0	0	0	0	249
2025-08-06	7633	$0.004538	$68,087	$89,973	-$42,515	-47.25%	10.42%	1	1	1	1	1	248
2025-08-05	7755	$0.004065	$60,976	$132,488	-$18,669	-14.09%	-13.90%	0	0	1	0	0	247
2025-08-04	8352	$0.004630	$38,073	$151,157	$0	0.00%	0.00%	1	1	1	1	1	246
2025-08-03	8352	$0.002538	$38,073	$151,157	-$3,710	-2.45%	11.23%	0	0	1	0	0	245
2025-08-02	8542	$0.002253	$33,846	$154,867	$31,707	20.47%	1.73%	0	0	0	0	0	244
2025-08-01	8612	$0.002214	$33,237	$123,160	$31,707	25.74%	1.76%	0	0	0	0	0	243
2025-07-31	8682	$0.002175	$32,629	$91,453	-$10,661	-11.66%	1.87%	0	0	1	0	0	242
2025-07-30	8706	$0.002134	$32,088	$102,114	-$10,661	-10.44%	1.91%	1	1	0	0	0	241
2025-07-29	8730	$0.002094	$31,548	$112,776	-$10,661	-9.45%	1.94%	1	1	0	0	0	240
2025-07-28	8754	$0.002053	$31,007	$123,437	-$168,972	-136.89%	-0.83%	0	0	0	0	0	241
2025-07-27	8717	$0.002070	$31,073	$292,409	$167,839	57.40%	-5.22%	1	1	0	0	0	240
2025-07-26	8670	$0.002178	$32,610	$124,570	-$2,246	-1.80%	-0.05%	0	0	0	0	0	239
2025-07-25	8640	$0.002179	$32,736	$126,816	-$2,975	-2.35%	2.25%	0	0	0	0	0	238
